No.	Title	Name	Rtg	FED	1.Rd	2.Rd	3.Rd	4.Rd	5.Rd	6.Rd	7.Rd	8.Rd	9.Rd	10.Rd	11.Rd	Pts. 	Rk.	TB1	TB2	TB3	TB4	TB5
54	GM	Rodshtein Maxim 	2645	ISR	112w1	  4w0	105b1	108b½	 19w1	  6w½	  1b0	 11w0	 97b½	 94b1	 18w0	5.5	54	2676	64	68.5	0	0
55	GM	Vokhidov Shamsiddin 	2645	UZB	113b½	111w½	107b½	109w½	115b1	 12w0	 91b½	 99w½	105b1	 96w½	 24b½	6	50	2592	56	59	0	0
56	GM	Svane Frederik 	2643	GER	114w1	  6w½	  7b½	  5b0	106w0	 98b½	102w½	112b0	111w1	101b½	 94w1	5.5	65	2621	54.5	58	0	0
57	GM	Puranik Abhimanyu 	2640	IND	115b1	 16w½	  6b0	 15b½	 13w1	 17w½	  8b½	 14w½	 10b0	 93w½	109b0	5	73	2698	63.5	68.5	0	0
58	GM	Salem A.R. Saleh 	2640	UAE	116w1	  7b½	  9w½	  8w½	 10b0	 14w½	109b1	 19b0	 90w0	 98b0	 84w½	4.5	86	2676	61.5	62.5	0	0
59	GM	Xiong Jeffery 	2640	USA	  1w½	  5b0	 92w1	 18b½	 15w½	 19b½	104w½	 94b½	106w1	 13b0	110w1	6	33	2676	60	64	0	0
60	GM	Chigaev Maksim 	2638	ESP	  2b½	  8w½	109b½	 22w0	 85b½	107w1	113b1	 24w½	 14b0	 99w0	105b-	4.5	93	2659	55	59.5	0	0
61	GM	Bacrot Etienne 	2637	FRA	  3w0	110b½	102b½	105w½	 95b1	 30w½	 11b0	 79w½	 91b0	 89w½	 85b½	4.5	96	2640	54.5	58	0	0
62	GM	Amin Bassem 	2636	EGY	  4b0	112w1	 10b0	115w0	111b½	114w1	 79b½	 81w0	 84b½	103b½	100w½	4.5	101	2602	51.5	55.5	0	0
63	GM	Gurel Ediz 	2631	TUR	  5w½	  9b0	110w½	114b½	100w1	 18b½	  3w1	 25b½	 39w½	 22b0	 98w½	5.5	55	2671	61	65	0	0
64	GM	Ivic Velimir 	2630	SRB	  6b0	114w½	113b0	112w1	105b0	 95w1	115b0	107w1	109b½	 81w1	 30b½	5.5	71	2579	51.5	54.5	0	0
65	GM	Hovhannisyan Robert 	2629	ARM	  7w0	116b1	 13w1	  9b½	 23w½	  5b0	 14b0	109w½	  3w½	106b½	101w1	5.5	51	2687	61.5	62.5	0	0
